"VAR","RESPONSE","MEANING"
"W101_01a",1,"nicht gewählt"
"W101_01a",2,"ausgewählt"
"W102_01a",1,"nicht gewählt"
"W102_01a",2,"ausgewählt"
"W103_01a",1,"nicht gewählt"
"W103_01a",2,"ausgewählt"
"W104_01a",1,"nicht gewählt"
"W104_01a",2,"ausgewählt"
"W105_01a",1,"nicht gewählt"
"W105_01a",2,"ausgewählt"
"W106_01a",1,"nicht gewählt"
"W106_01a",2,"ausgewählt"
"W107_01a",1,"nicht gewählt"
"W107_01a",2,"ausgewählt"
"W108_01a",1,"nicht gewählt"
"W108_01a",2,"ausgewählt"
"W109_01a",1,"nicht gewählt"
"W109_01a",2,"ausgewählt"
"W110_01a",1,"nicht gewählt"
"W110_01a",2,"ausgewählt"
"W111_01a",1,"nicht gewählt"
"W111_01a",2,"ausgewählt"
"W112_01a",1,"nicht gewählt"
"W112_01a",2,"ausgewählt"
"W113_01a",1,"nicht gewählt"
"W113_01a",2,"ausgewählt"
"W114_01a",1,"nicht gewählt"
"W114_01a",2,"ausgewählt"
"W115_01a",1,"nicht gewählt"
"W115_01a",2,"ausgewählt"
"W116_01a",1,"nicht gewählt"
"W116_01a",2,"ausgewählt"
"W117_01a",1,"nicht gewählt"
"W117_01a",2,"ausgewählt"
"W118_01a",1,"nicht gewählt"
"W118_01a",2,"ausgewählt"
"W119_01a",1,"nicht gewählt"
"W119_01a",2,"ausgewählt"
"W120_01a",1,"nicht gewählt"
"W120_01a",2,"ausgewählt"
"W121_01a",1,"nicht gewählt"
"W121_01a",2,"ausgewählt"
"W122_01a",1,"nicht gewählt"
"W122_01a",2,"ausgewählt"
"W123_01a",1,"nicht gewählt"
"W123_01a",2,"ausgewählt"
"W124_01a",1,"nicht gewählt"
"W124_01a",2,"ausgewählt"
"W125_01a",1,"nicht gewählt"
"W125_01a",2,"ausgewählt"
"W126_01a",1,"nicht gewählt"
"W126_01a",2,"ausgewählt"
"W127_01a",1,"nicht gewählt"
"W127_01a",2,"ausgewählt"
"W128_01a",1,"nicht gewählt"
"W128_01a",2,"ausgewählt"
"W129_01a",1,"nicht gewählt"
"W129_01a",2,"ausgewählt"
"W130_01a",1,"nicht gewählt"
"W130_01a",2,"ausgewählt"
"W131_01a",1,"nicht gewählt"
"W131_01a",2,"ausgewählt"
"W132_01a",1,"nicht gewählt"
"W132_01a",2,"ausgewählt"
"W133_01a",1,"nicht gewählt"
"W133_01a",2,"ausgewählt"
"W134_01a",1,"nicht gewählt"
"W134_01a",2,"ausgewählt"
"W135_01a",1,"nicht gewählt"
"W135_01a",2,"ausgewählt"
"W136_01a",1,"nicht gewählt"
"W136_01a",2,"ausgewählt"
"W137_01a",1,"nicht gewählt"
"W137_01a",2,"ausgewählt"
"W138_01a",1,"nicht gewählt"
"W138_01a",2,"ausgewählt"
"W139_01a",1,"nicht gewählt"
"W139_01a",2,"ausgewählt"
"W140_01a",1,"nicht gewählt"
"W140_01a",2,"ausgewählt"
"W141_01a",1,"nicht gewählt"
"W141_01a",2,"ausgewählt"
"W142_01a",1,"nicht gewählt"
"W142_01a",2,"ausgewählt"
"W143_01a",1,"nicht gewählt"
"W143_01a",2,"ausgewählt"
"W144_01a",1,"nicht gewählt"
"W144_01a",2,"ausgewählt"
"W145_01a",1,"nicht gewählt"
"W145_01a",2,"ausgewählt"
"W146_01a",1,"nicht gewählt"
"W146_01a",2,"ausgewählt"
"W147_01a",1,"nicht gewählt"
"W147_01a",2,"ausgewählt"
"W148_01a",1,"nicht gewählt"
"W148_01a",2,"ausgewählt"
"W149_01a",1,"nicht gewählt"
"W149_01a",2,"ausgewählt"
"W150_01a",1,"nicht gewählt"
"W150_01a",2,"ausgewählt"
"W151_01a",1,"nicht gewählt"
"W151_01a",2,"ausgewählt"
"W152_01a",1,"nicht gewählt"
"W152_01a",2,"ausgewählt"
"W153_01a",1,"nicht gewählt"
"W153_01a",2,"ausgewählt"
"W154_01a",1,"nicht gewählt"
"W154_01a",2,"ausgewählt"
"W155_01a",1,"nicht gewählt"
"W155_01a",2,"ausgewählt"
"W156_01a",1,"nicht gewählt"
"W156_01a",2,"ausgewählt"
"W157_01a",1,"nicht gewählt"
"W157_01a",2,"ausgewählt"
"W158_01a",1,"nicht gewählt"
"W158_01a",2,"ausgewählt"
"W159_01a",1,"nicht gewählt"
"W159_01a",2,"ausgewählt"
"W160_01a",1,"nicht gewählt"
"W160_01a",2,"ausgewählt"
"W161_01a",1,"nicht gewählt"
"W161_01a",2,"ausgewählt"
"W162_01a",1,"nicht gewählt"
"W162_01a",2,"ausgewählt"
"W163_01a",1,"nicht gewählt"
"W163_01a",2,"ausgewählt"
"W164_01a",1,"nicht gewählt"
"W164_01a",2,"ausgewählt"
"W165_01a",1,"nicht gewählt"
"W165_01a",2,"ausgewählt"
"W166_01a",1,"nicht gewählt"
"W166_01a",2,"ausgewählt"
"W167_01a",1,"nicht gewählt"
"W167_01a",2,"ausgewählt"
"W168_01a",1,"nicht gewählt"
"W168_01a",2,"ausgewählt"
"W169_01a",1,"nicht gewählt"
"W169_01a",2,"ausgewählt"
"W170_01a",1,"nicht gewählt"
"W170_01a",2,"ausgewählt"
"W171_01a",1,"nicht gewählt"
