Word,RatperWord,AoAestimate,SD,min,max,unknown,AoALikert,SDLikert,minLikert,maxLikert,lgSUBTLEX,AoA bins
becher,18,3.0,0.77,2.0,4.0,0,1.72,0.46,1,2,2.228,0
reis,25,3.72,1.02,2.0,6.0,0,2.08,0.57,1,3,2.655,1
zeugnis,10,5.7,0.95,5.0,8.0,0,3.1,0.32,3,4,2.064,2
komma,15,6.53,1.13,5.0,8.0,0,3.47,0.52,3,4,2.017,3
kloster,15,7.67,1.54,6.0,10.0,0,3.93,0.8,3,5,2.373,4
solo,14,9.93,1.73,7.0,12.0,0,5.21,0.8,4,6,2.223,5
seuche,14,10.29,2.05,7.0,14.0,0,5.43,1.02,4,7,1.908,6
reaktor,19,12.63,2.14,8.0,16.0,0,6.32,0.89,4,7,1.949,7
hypothek,19,13.21,2.37,8.0,16.0,0,6.37,0.96,4,7,1.964,8
dozent,15,14.53,3.27,8.0,22.0,0,6.53,0.83,4,7,1.342,9
